track,artist,album,liveness,valence,energy,acousticness,speechiness,tempo,danceability,instrumentalness,loudness,album_release_year,duration_ms,key_mode
Parking Lot (feat. Casey Veggies & Mike G),"Tyler, The Creator",Wolf,0.661,0.483,0.511,0.0979,0.274,80.747,0.548,0,-10.424,2013,233906,B major
Rusty (feat. Domo Genesis & Earl Sweatshirt),"Tyler, The Creator",Wolf,0.396,0.364,0.677,0.00529,0.248,81.28,0.503,2.4e-4,-5.647,2013,309693,B major
"Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)","Tyler, The Creator",Wolf,0.257,0.149,0.609,0.00807,0.299,64.604,0.48,0,-7.251,2013,282560,C# minor
Treehome95 (feat. Coco O. & Erykah Badu),"Tyler, The Creator",Wolf,0.419,0.377,0.539,0.217,0.362,81.971,0.721,0.00257,-8.726,2013,180213,B major
Tamale,"Tyler, The Creator",Wolf,0.272,0.967,0.93,0.0557,0.0977,129.986,0.742,2.42e-4,-7.207,2013,166346,B major
Lone,"Tyler, The Creator",Wolf,0.741,0.586,0.761,0.442,0.241,80.355,0.362,0,-8.509,2013,237106,D minor
Goblin,"Tyler, The Creator",Goblin,0.219,0.444,0.529,0.534,0.828,78.235,0.456,0,-12.651,2011,408520,F minor
Yonkers,"Tyler, The Creator",Goblin,0.217,0.738,0.759,0.0161,0.334,79.102,0.712,0.0808,-5.397,2011,249333,B major
Radicals,"Tyler, The Creator",Goblin,0.269,0.224,0.68,0.154,0.498,74.06,0.562,0.0955,-8.015,2011,438333,C# major
She,"Tyler, The Creator",Goblin,0.613,0.459,0.621,0.256,0.233,83.375,0.35,3.44e-5,-6.495,2011,253386,G# minor
Transylvania,"Tyler, The Creator",Goblin,0.201,0.197,0.638,0.0115,0.424,122.448,0.572,0.0104,-11.868,2011,192200,G major
Nightmare,"Tyler, The Creator",Goblin,0.14,0.636,0.627,0.0143,0.458,87.804,0.647,0,-10.555,2011,322000,G minor
Tron Cat,"Tyler, The Creator",Goblin,0.153,0.39,0.634,0.0302,0.274,81,0.632,0,-8.415,2011,253746,G# major
Her,"Tyler, The Creator",Goblin,0.114,0.494,0.369,0.00385,0.432,145.834,0.802,1.01e-4,-13.218,2011,211106,C# minor
Sandwitches,"Tyler, The Creator",Goblin,0.204,0.373,0.587,0.0676,0.222,152.468,0.576,2.21e-6,-9.763,2011,291226,E major
Fish,"Tyler, The Creator",Goblin,0.0809,0.212,0.505,0.319,0.331,119.271,0.694,0,-12.436,2011,379626,G# major
Analog,"Tyler, The Creator",Goblin,0.772,0.427,0.699,0.00444,0.29,87.083,0.364,0.00093000000000000005,-9.473,2011,174400,C minor
B.S.D.,"Tyler, The Creator",Goblin,0.294,0.271,0.47,0.0116,0.254,67.015,0.627,0,-9.806,2011,216160,C# minor
Window,"Tyler, The Creator",Goblin,0.283,0.206,0.508,0.11,0.449,132.304,0.505,0,-11.191,2011,480293,G major
AU79,"Tyler, The Creator",Goblin,0.133,0.52,0.344,0.0748,0.0495,159.965,0.499,0.717,-14.841,2011,220253,F# major
Golden,"Tyler, The Creator",Goblin,0.243,0.438,0.76,0.442,0.364,133.576,0.46,0.00114,-6.734,2011,343280,C major
Burger,"Tyler, The Creator",Goblin,0.132,0.324,0.563,0.178,0.357,73.011,0.709,0,-10.119,2011,229640,G# major
Untitled 63,"Tyler, The Creator",Goblin,0.0928,0.142,0.509,0.111,0.0367,78,0.582,0.947,-12.415,2011,66933,A# minor
Steak Sauce,"Tyler, The Creator",Goblin,0.272,0.28,0.636,0.0526,0.355,95.898,0.663,0,-9.768,2011,202106,F# minor
